date,Provinces name,City Name ,City market,latitude,longitude,category,commodity,unit,price flag,price type,currency,price,usd price
1/15/2004,BALOCHISTAN,Quetta,Quetta,30.187222,67.0125,cereals and tubers,"Rice (basmati, broken)",KG,actual,Retail,PKR,20,0.0916
1/15/2004,BALOCHISTAN,Quetta,Quetta,30.187222,67.0125,cereals and tubers,Wheat flour,KG,actual,Retail,PKR,13,0.0596
1/15/2004,KHYBER PAKHTUNKHWA,Peshawar,Peshawar,34.008366,71.580182,cereals and tubers,"Rice (basmati, broken)",KG,actual,Retail,PKR,17.59,0.0806
1/15/2004,KHYBER PAKHTUNKHWA,Peshawar,Peshawar,34.008366,71.580182,cereals and tubers,Wheat flour,KG,actual,Retail,PKR,12,0.055
1/15/2004,PUNJAB,Lahore,Lahore,31.549722,74.343611,cereals and tubers,"Rice (basmati, broken)",KG,actual,Retail,PKR,19.15,0.0877
1/15/2004,PUNJAB,Lahore,Lahore,31.549722,74.343611,cereals and tubers,Wheat flour,KG,actual,Retail,PKR,11.75,0.0538
1/15/2004,PUNJAB,Multan,Multan,30.195556,71.475278,cereals and tubers,"Rice (basmati, broken)",KG,actual,Retail,PKR,19,0.087
1/15/2004,PUNJAB,Multan,Multan,30.195556,71.475278,cereals and tubers,Wheat flour,KG,actual,Retail,PKR,12,0.055
1/15/2004,SINDH,Karachi,Karachi,24.9056,67.0822,cereals and tubers,"Rice (basmati, broken)",KG,actual,Retail,PKR,18.62,0.0853
1/15/2004,SINDH,Karachi,Karachi,24.9056,67.0822,cereals and tubers,Wheat flour,KG,actual,Retail,PKR,14.01,0.0642
2/15/2004,BALOCHISTAN,Quetta,Quetta,30.187222,67.0125,cereals and tubers,"Rice (basmati, broken)",KG,actual,Retail,PKR,20,0.0916
2/15/2004,BALOCHISTAN,Quetta,Quetta,30.187222,67.0125,cereals and tubers,Wheat flour,KG,actual,Retail,PKR,13,0.0596
2/15/2004,KHYBER PAKHTUNKHWA,Peshawar,Peshawar,34.008366,71.580182,cereals and tubers,"Rice (basmati, broken)",KG,actual,Retail,PKR,17,0.0779
2/15/2004,KHYBER PAKHTUNKHWA,Peshawar,Peshawar,34.008366,71.580182,cereals and tubers,Wheat flour,KG,actual,Retail,PKR,12.21,0.0559
2/15/2004,PUNJAB,Lahore,Lahore,31.549722,74.343611,cereals and tubers,"Rice (basmati, broken)",KG,actual,Retail,PKR,19.15,0.0877
2/15/2004,PUNJAB,Lahore,Lahore,31.549722,74.343611,cereals and tubers,Wheat flour,KG,actual,Retail,PKR,11.75,0.0538
2/15/2004,PUNJAB,Multan,Multan,30.195556,71.475278,cereals and tubers,"Rice (basmati, broken)",KG,actual,Retail,PKR,19,0.087
2/15/2004,PUNJAB,Multan,Multan,30.195556,71.475278,cereals and tubers,Wheat flour,KG,actual,Retail,PKR,12.5,0.0573
2/15/2004,SINDH,Karachi,Karachi,24.9056,67.0822,cereals and tubers,"Rice (basmati, broken)",KG,actual,Retail,PKR,18.62,0.0853
2/15/2004,SINDH,Karachi,Karachi,24.9056,67.0822,cereals and tubers,Wheat flour,KG,actual,Retail,PKR,14.56,0.0667
3/15/2004,BALOCHISTAN,Quetta,Quetta,30.187222,67.0125,cereals and tubers,"Rice (basmati, broken)",KG,actual,Retail,PKR,20,0.0916
3/15/2004,BALOCHISTAN,Quetta,Quetta,30.187222,67.0125,cereals and tubers,Wheat flour,KG,actual,Retail,PKR,14.25,0.0653
3/15/2004,KHYBER PAKHTUNKHWA,Peshawar,Peshawar,34.008366,71.580182,cereals and tubers,"Rice (basmati, broken)",KG,actual,Retail,PKR,17,0.0779
3/15/2004,KHYBER PAKHTUNKHWA,Peshawar,Peshawar,34.008366,71.580182,cereals and tubers,Wheat flour,KG,actual,Retail,PKR,12.5,0.0573
3/15/2004,PUNJAB,Lahore,Lahore,31.549722,74.343611,cereals and tubers,"Rice (basmati, broken)",KG,actual,Retail,PKR,19.47,0.0892
3/15/2004,PUNJAB,Lahore,Lahore,31.549722,74.343611,cereals and tubers,Wheat flour,KG,actual,Retail,PKR,11.75,0.0538
3/15/2004,PUNJAB,Multan,Multan,30.195556,71.475278,cereals and tubers,"Rice (basmati, broken)",KG,actual,Retail,PKR,19,0.087
3/15/2004,PUNJAB,Multan,Multan,30.195556,71.475278,cereals and tubers,Wheat flour,KG,actual,Retail,PKR,12.82,0.0588
3/15/2004,SINDH,Karachi,Karachi,24.9056,67.0822,cereals and tubers,"Rice (basmati, broken)",KG,actual,Retail,PKR,18.62,0.0853
3/15/2004,SINDH,Karachi,Karachi,24.9056,67.0822,cereals and tubers,Wheat flour,KG,actual,Retail,PKR,15.12,0.0693
4/15/2004,BALOCHISTAN,Quetta,Quetta,30.187222,67.0125,cereals and tubers,"Rice (basmati, broken)",KG,actual,Retail,PKR,21,0.0962
4/15/2004,BALOCHISTAN,Quetta,Quetta,30.187222,67.0125,cereals and tubers,Wheat flour,KG,actual,Retail,PKR,12.5,0.0573
4/15/2004,KHYBER PAKHTUNKHWA,Peshawar,Peshawar,34.008366,71.580182,cereals and tubers,"Rice (basmati, broken)",KG,actual,Retail,PKR,17.34,0.0794
4/15/2004,KHYBER PAKHTUNKHWA,Peshawar,Peshawar,34.008366,71.580182,cereals and tubers,Wheat flour,KG,actual,Retail,PKR,12,0.055
4/15/2004,PUNJAB,Lahore,Lahore,31.549722,74.343611,cereals and tubers,"Rice (basmati, broken)",KG,actual,Retail,PKR,19.79,0.0907
4/15/2004,PUNJAB,Lahore,Lahore,31.549722,74.343611,cereals and tubers,Wheat flour,KG,actual,Retail,PKR,11.76,0.0539
4/15/2004,PUNJAB,Multan,Multan,30.195556,71.475278,cereals and tubers,"Rice (basmati, broken)",KG,actual,Retail,PKR,19,0.087
4/15/2004,PUNJAB,Multan,Multan,30.195556,71.475278,cereals and tubers,Wheat flour,KG,actual,Retail,PKR,12,0.055
4/15/2004,SINDH,Karachi,Karachi,24.9056,67.0822,cereals and tubers,"Rice (basmati, broken)",KG,actual,Retail,PKR,18.62,0.0853
4/15/2004,SINDH,Karachi,Karachi,24.9056,67.0822,cereals and tubers,Wheat flour,KG,actual,Retail,PKR,13.09,0.06
5/15/2004,BALOCHISTAN,Quetta,Quetta,30.187222,67.0125,cereals and tubers,"Rice (basmati, broken)",KG,actual,Retail,PKR,21,0.0962
5/15/2004,BALOCHISTAN,Quetta,Quetta,30.187222,67.0125,cereals and tubers,Wheat flour,KG,actual,Retail,PKR,13.25,0.0607
5/15/2004,KHYBER PAKHTUNKHWA,Peshawar,Peshawar,34.008366,71.580182,cereals and tubers,"Rice (basmati, broken)",KG,actual,Retail,PKR,17.5,0.0802
5/15/2004,KHYBER PAKHTUNKHWA,Peshawar,Peshawar,34.008366,71.580182,cereals and tubers,Wheat flour,KG,actual,Retail,PKR,12.07,0.0553
5/15/2004,PUNJAB,Lahore,Lahore,31.549722,74.343611,cereals and tubers,"Rice (basmati, broken)",KG,actual,Retail,PKR,19.79,0.0907
